TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,12,15,10,0.05,0.03,5.389999999999986,40,60.0
15min,12,50,20,0.05,0.01,5.385999999999967,74,33.78378378378378
15min,3,26,50,0.05,0.02,5.382999999999967,47,51.06382978723404
15min,3,50,10,0.05,0.02,5.380999999999929,67,44.776119402985074
15min,3,60,50,0.03,0.03,5.379499999999993,67,67.16417910447761
15min,12,26,10,0.05,0.01,5.3719999999999715,69,34.78260869565217
15min,3,60,20,0.05,0.02,5.3714999999999264,67,44.776119402985074
15min,12,15,10,0.05,0.02,5.370499999999964,44,52.27272727272727
15min,12,60,10,0.05,0.02,5.369999999999948,74,43.24324324324324
15min,12,26,20,0.05,0.03,5.3694999999999595,48,56.25
15min,3,20,50,0.03,0.03,5.368499999999997,47,74.46808510638297
5min,9,50,30,0.05,0.01,5.360000000000028,111,28.82882882882883
15min,3,10,10,0.05,0.01,5.346499999999992,63,36.507936507936506
5min,6,20,20,0.05,0.03,5.34449999999994,66,51.515151515151516
5min,6,50,10,0.05,0.03,5.341499999999897,82,48.78048780487805
15min,3,60,30,0.05,0.02,5.33699999999989,64,45.3125
15min,6,60,50,0.03,0.03,5.329500000000024,62,67.74193548387096
15min,12,26,20,0.05,0.01,5.328499999999991,63,36.507936507936506
15min,9,15,30,0.05,0.01,5.328000000000003,40,47.5
